,date,username,retweets,text,mentions,hashtags
1,6/4/2019 16:10,SRKKeralaFC,30,Schools are gonna open this week all over Kerala. We distributed bags and study materials to students who are still suffering from the aftermath of KeralaFloods.twitter.com/ao1GASuIut,@SRKCHENNAIFCpic,#KeralaFloods
3,6/3/2019 6:55,JustOutNews,0,Govt to construct four new dams in Kerala; aims to tackle floods Read More -  kerala keralafloods To Know More StateNews and CurrentUpdates Download JustOutNews App - http://justout.in/dl pic.twitter.com/qhbOb7GNsf,@CPIMKerala @keralagovernment,#kerala #keralafloods #StateNews #CurrentUpdates #JustOutNews
5,5/29/2019 14:24,dipalisharma02,5,Chairperson Ms. T.K.Sathi along with Ward Counsellor Mr. Shah of Pandhalam Municipality and â¦© Kerala team today inaugurated the construction work of anganwadi in Ward no3. Thank you â¦© for the support. keralafloods pic.twitter.com/2uJMUVdvqa,@ActionAidIndia @caretoday,#keralafloods
10,5/28/2019 15:36,vssanakan,4,Hearty Congratulations!!! Biji Thomas of bags Kerala State Television award - Best Director (Documentary) for his special programme 'Pralayabaaki' (the remains of KeralaFloods). pic.twitter.com/jbQA4pHZWX,@manoramanews,#KeralaFloods
14,6/1/2019 7:39,blacknwhitetale,1,"keralafloods happened and crores of money were lost , its better to invest the future money in combating climatechange â¦",@PrakashJavdekar @SuPriyoBabulhttps,#keralafloods #climatechange
16,5/29/2019 8:04,ninja_chater,3,"@ActionAidIndia w/ support from inaugurated the construction of an Anganwadi today in Pandhalam Municipality,Patinamthitta,Kerala, in the presence of Municipality Chairperson, Ms TK Sathi; Ward Counsellor, Mr Shah & other municipality & communi",@ActionAidIndia @caretoday,#KeralaFloods
19,5/28/2019 9:35,MongabayIndia,2,"The people of Kerala missed an opportunity to introspect about the floods of August 2018, when the Sabarimala temple controversy erupted a month after the extreme weather event.  â¦ KeralaFloods Sabarimala Commentarypic.twitter.com/3XyoHHTDqz",@GopiWarrier,#KeralaFloods #Sabarimala #Commentarypic
21,6/1/2019 17:57,sisir_pradhan,1,And networks gave up during fanicyclone n their double standards they gave free calls n internet during keralafloods but no such gesture 4 Odisha . fastest 2 restore service...time 2 port,@reliancejio @VodafoneIN @BSNL_OR @FaniRestoration @TRAI,#networks #fanicyclone #free #keralafloods #Odisha
25,5/29/2019 16:50,nKishore22,1,"Criminal Defamation case filed against in HC, Kerala? He allegedly called them ""shameless people"" during a debate regarding UAE government providing flood relief funds. KeralaFloods",@ArnabGoswamiRtv,#KeralaFloods
28,5/28/2019 16:05,MongabayIndia,2,"To deal with future events, it is necessary to understand, analyse and introspect on the past events.  â¦ commentary keralafloods sabarimala EnvironmentAndElections FloodAndDrought",@GopiWarrier,#commentary #keralafloods #sabarimala #EnvironmentAndElections #FloodAndDrought
30,5/27/2019 6:16,jobinindia,1,Eleksyon2019 how did get it right in all states except Kerala 13 NDA candidates in Kerala loses security deposit in LS polls http://dhunt.in/6cAhF?s=a&ss=pd KeralaFloods,@BJP4India,#Eleksyon2019 #Kerala #Kerala #KeralaFloods
31,5/27/2019 5:49,optumebuilders,0,"@optumebuilders Optume Houselifting Company, Kochi is the front runner of house lifting companies in Kerala and are the pioneers of this technology. Home lifting services with 100 % safety ",@optumebuilders,#Kochi #buildingmastersoffuture #KeralaFloods #houselifting #Bangalorepic
34,5/28/2019 7:09,DeccanHerald,2,KeralaFloods The has permitted the Kerala government to use the tax to raise funds to rebuild the state from the devastation wreaked by last yearâs floods. â¦,@GST_Council,#KeralaFloods #Kerala
35,5/25/2019 13:01,SadhguruJV,1230,"Relentless efforts by volunteers for KeralaFloods victims have been incredible, yet just a drop in the ocean. Western Ghats, the lifelines of Indian Peninsular, must be preserved to avert such disasters for future generations. âSg http://isha.sadhguru.org/Anukampa pic.twitter.com/UMVtO1kGCS",@ishafoundation,#KeralaFloods
39,4/3/2019 15:04,BJP4Keralam,80,Terrible lapses in dam management was what gave way to the disaster of the century in Kerala state's history. CM & all concerned authorities must be held responsible. Video: http://bit.ly/2I8lgBu KeralaFloods Truth,@vijayanpinarayi @maniyashaan @BJP4India @psspillaibjp,#Kerala #KeralaFloods #Truth
40,4/3/2019 12:22,BJP4Keralam,156,"""Dams opened without warning was what caused the 2018 floods as per Amicus Curiae."" ""Kerala CM should take responsibility & resign."" ""Kerala Govt. simply can't run & hide from this. They must answer the people."" KeralaFloods BJPpic.twitter.com/mRxdnw5Kx7",@vijayanpinarayi @psspillaibjp @CPIMKerala,#KeralaFloods #BJPpic
42,4/3/2019 9:13,nikhilnarayanan,121,Kerala HC appointed Amicus Curiae tells HC that KeralaFloods 2018 was man-made and caused by mismanagement of dam shutters (and their openings). Calls for a Judicial investigation. Massive failure of govt. now officially exposed? â¦,@vijayanpinarayi,#KeralaFloods
44,2/26/2019 14:43,Khalsa_Aid,58,Indian actor joined our teams to serve LANGAR ( food) to those affected by the KeralaFloods last year. Great to see celebrities serving humanity. Thank you Randeep pic.twitter.com/lL3B5urM2a,@RandeepHooda,#KeralaFloods
48,1/6/2019 11:49,ShashiTharoor,93,My intervention in the Lok Sabha on the CycloneOckhi Rehabilitation Package: central Govt gave only â¹118cr against State Govt requirement of â¹7304 cr (s figures are wrong â he must have been thinking of the Keralafloods)  â¦,@arunjaitley,#CycloneOckhi #Keralafloods
51,12/27/2018 5:32,ShashiTharoor,359,"Have been speaking to Sanjay Kirloskar, chief of, about helping in the crisis in Meghalaya. He has rushed a team to assess the actual needs:what kind of pumps would best work in local conditions. Meanwhile his pumps used for the KeralaFloods cld be diverted if suitable",@KBLPumps,#KeralaFloods
56,11/29/2018 21:01,RevathyNS,137,Centre has demaded Rs. 290.67crs from Kerala govt. for the relief aid provided at the time of keralafloods. This includes 25cr for rescue helicopters & food during floods - in Legislative assembly Unbelievable!pic.twitter.com/mCly1v3BPc,@CMOKerala,#keralafloods
58,11/23/2018 3:15,albyjohnV,95,"Was happy to see this photo of the EB team sent from Wayanad, Kerala and mobilised by IAS. TN sending relief trucks during KeralaFloods and Kerala sending help during the GajaCyclone makes my belief firm on these words on the banner in this pic - Oru Desam Oru makkal.pic.twitter.com/olqBvbpofl",@umesh,#KeralaFloods #GajaCyclone
60,11/20/2018 7:05,rameshlaus,638,Thalapathy has deposited various amounts ranging from â¹ 2 Laksh to â¹ 4.50 Lakhs to his Fan club heads bank accounts in CycloneGaja affected areas to help the needy.. Similar to what he did during KeralaFloods Kudos to his generous gesture! pic.twitter.com/Qhy1EO57E6,@actorvijay,#Thalapathy #CycloneGaja #KeralaFloods
