date,username,retweets,text,mentions,hashtags
2018-08-09 23:44:18,udayaprakash2,0,"Share ... helpline numbers #KeralaFloods #KeralaRains https:// twitter.com/gvprakash/stat us/1027603189833461760 …",,#KeralaFloods #KeralaRains
2018-08-09 23:38:26,dileepkodiyath,1,"If u need help please use this tag and below forms #keralawaters2018 #KeralaFloods #KeralaRain #keralarains https:// docs.google.com/forms/d/e/1FAI pQLSc4kxfFo2I-mpzH-YYe6mTSU5etgIbWriIWoReEoPqJNjfJuA/viewform?usp=sf_link …",,#keralawaters2018 #KeralaFloods #KeralaRain #keralarains
2018-08-09 23:29:43,keralavarma,4,"#Kerala #KeralaFloods My heart and mind is with people & wild animals of Kerala. 24 dam shutters are open including that of Asia's second largest Arch dam.",,#Kerala #KeralaFloods
2018-08-09 22:56:06,sutharsansurya,0,"• Stay Safe Everyone..Here are the Helpline Numbers..! Share #KeralaFloods #KeralaRains @Suriya_offl @rajsekarpandian @Karthi_Offl @prabhu_sr pic.twitter.com/xF1yanDRIm",@Suriya_offl @rajsekarpandian @Karthi_Offl @prabhu_sr,#KeralaFloods #KeralaRains
2018-08-09 20:26:06,shiyamjack,1,"#KeralaFloods helplines !!! pic.twitter.com/zYYm4HoGNu",,#KeralaFloods
2018-08-09 20:25:08,MDRUBELPARVEZ6,0,"Landslides caused by monsoon rains in Kerela kill 20 #KeralaFloods #keralarains #Kerala : http:// youtu.be/ChBiCy-NI6I?a via @YouTube",@YouTube,#KeralaFloods #keralarains #Kerala
2018-08-09 20:03:59,crpgzb69,0,"Heavy rains in #Kerala .. Shocking visuals for #KeralaFloods Stay Safe Everyone..Here are the Helpline Numbers..! Share #KeralaFloods #Keralarains pic.twitter.com/sIrwss1Lti",,#Kerala #KeralaFloods #KeralaFloods #Keralarains
2018-08-09 20:02:25,news_basics,1,"Karnataka lends a helping hand to flood affected Kerala #Kerala #KeralaFloods @cmofKarnataka @grovervj @GOKUpdates https:// newsbasics.in/2018/08/10/kar nataka-lends-a-helping-hand-to-flood-affected-kerala/ …",@cmofKarnataka @grovervj @GOKUpdates,#Kerala #KeralaFloods
2018-08-09 19:53:44,jayaprakash257,0,"My prayers for God's Own Country. Hard to see all livings affected due to rain... #KeralaFloods #KeralaRains",,#KeralaFloods #KeralaRains
2018-08-09 19:48:18,BollywoodMast13,1,"90% Off Best seller Philips Beard Trimmer Cordless for Men QT4001/15 https:// amzn.to/2MbbEbs #DeadlineDay #RajyaSabhaDeputyChairman #Note9 #CaptSafdar #KeralaFloods #Unpacked #GalaxyNote9 #GeneralElections2018 #Epiphany",,#DeadlineDay #RajyaSabhaDeputyChairman #Note9 #CaptSafdar #KeralaFloods #Unpacked #GalaxyNote9 #GeneralElections2018 #Epiphany
2018-08-09 19:43:51,Barathnk,0,"Pray for Brothers and Sisters in #Kerala Request @CMOKerala to take war zone action on rescuing people from #KeralaFloods #keralarains @NDRFHQ we believe in you",@CMOKerala @NDRFHQ,#Kerala #KeralaFloods #keralarains
2018-08-09 19:42:36,BollywoodMast13,1,"#NafratChhodo #11YearsOfChakDeIndia #UnlockTheMusic #Veshbhusha #1DDrive #RajyaSabhaDeputyChairman #Note9 #KeralaFloods Amazon exclusive offer Honor 7X (Blue, 4GB RAM + 64GB Memory) https:// amzn.to/2vxGAJD",,#NafratChhodo #11YearsOfChakDeIndia #UnlockTheMusic #Veshbhusha #1DDrive #RajyaSabhaDeputyChairman #Note9 #KeralaFloods
2018-08-09 19:35:20,SFC_Pondicherry,1,"• Stay Safe Everyone..Here are the Helpline Numbers..! Share #KeralaFloods #KeralaRains @Suriya_offl @rajsekarpandian @Karthi_Offl @prabhu_sr pic.twitter.com/SANWqBpSZk",@Suriya_offl @rajsekarpandian @Karthi_Offl @prabhu_sr,#KeralaFloods #KeralaRains
2018-08-09 19:30:27,Badshaass,0,"#KeralaFloods scary 22 people lost lives so far. Deadliest rainfall in a long time. https:// twitter.com/TimesNow/statu s/1027546576913199104 …",,#KeralaFloods
2018-08-09 19:26:47,Rahulrj_offl,0,"• Due to heavy rains and floods #Neeli postponed to saturday. #KeralaFloods #KeralaRains pic.twitter.com/vpvl5hb8jB",,#Neeli #KeralaFloods #KeralaRains
2018-08-09 19:24:47,entechfo,1,"Max share this video. Save kerala people #GalaxyNote9 #GhajinikanthBloopers #keralarains #KeralaFloods https:// twitter.com/entechfo/statu s/1027636469530120192 …",,#GalaxyNote9 #GhajinikanthBloopers #keralarains #KeralaFloods
2018-08-09 19:23:53,manoj1593,0,"May the time be in favour of #Kerala Heart and hopes with the recovery of the state to normal. #KeralaFloods #KeralaRains",,#Kerala #KeralaFloods #KeralaRains
2018-08-09 19:23:21,entechfo,1,"God please show some mercy - Save kerala people Full video in http:// entechfo.blogspot.com / #keralarains #KeralaFloods @ihansika #Vishwaroopam2FromTomorrow #Vishwaroopam2Thiruvizha pic.twitter.com/oaO1voTilC",@ihansika,#keralarains #KeralaFloods #Vishwaroopam2FromTomorrow #Vishwaroopam2Thiruvizha
2018-08-09 19:19:47,vipinkumar_g,2,"#keralarains Good Gesture by @CMOTamilNadu #KeralaFloods pic.twitter.com/3ac1oxUyEC",@CMOTamilNadu,#keralarains #KeralaFloods
2018-08-09 19:19:10,offeringam,0,"Today's offer https://www. instagram.com/p/BmRPx0_Au5Q/ ?utm_source=ig_share_sheet&igshid=197l3x2dp6gnd … #DarubaazKejri #keralarains #KeralaFloods #food #foodie #yum #dinner #foodporn #tasty #foodphotography #foodlover #foodblogger #foodstagram #yummy #foodgasm #foods #delicious #foodpics #MissDivaInDelhi #GalaxyNote9 #11YearsOfChakDeIndia pic.twitter.com/o5AaK01D6D",,#DarubaazKejri #keralarains #KeralaFloods #food #foodie #yum #dinner #foodporn #tasty #foodphotography #foodlover #foodblogger #foodstagram #yummy #foodgasm #foods #delicious #foodpics #MissDivaInDelhi #GalaxyNote9 #11YearsOfChakDeIndia
2018-08-09 19:07:15,sunderramu,7,"Thoughts with the people in the affected areas. brings back tough memories of the chennai floods. I remember a couple of men from Kerala drove all the way in a Qualis with bottles of boiled drinking water and gave it to us at Asan school. Prayers #KeralaFloods",,#KeralaFloods
2018-08-09 19:04:50,Sb_Offl,0,"• Stay Safe Everyone..Here are the Helpline Numbers..! Share #KeralaFloods #KeralaRains @Suriya_offl @rajsekarpandian @Karthi_Offl @prabhu_sr pic.twitter.com/d4nJ2W3JCI",@Suriya_offl @rajsekarpandian @Karthi_Offl @prabhu_sr,#KeralaFloods #KeralaRains
2018-08-09 18:50:45,MICDropBaam,1,"#KeralaFloods Oh by the way all the phone lines where I am at are dead. Thank god we also have cellphones.",,#KeralaFloods
2018-08-09 18:48:07,Utkarshdotwav,0,"Poop everyday. #India #JusticeForGoat #KeralaFloods",,#India #JusticeForGoat #KeralaFloods
2018-08-09 18:38:51,SkBloodSrini,0,"Conditions are getting worse in Kerala, people are facing many problems. Stay Safe! Please share the Emergency contact Details #KeralaFloods #KeralaRains pic.twitter.com/VVENWpqbvc",,#KeralaFloods #KeralaRains
